sep=;
time;model_id;model_name;port_name;data
1;9;PasirRis;;<150000,0.000255,3e-05,0>
2;3;BukitMerah;outputNeighborhood;<170000,0.000255,3e-05,0>
2;3;BukitMerah;;<170000,0.000325507,7.8e-05,3e-06>
2;4;Geylang;outputNeighborhood;<100000,0.0017,8.1002,1.9>
2;4;Geylang;;<100000,0.00217002,7.29052,2.71002>
2;5;Tampines;;<240000,9e-10,0,0>
2;6;JurongEast;;<180000,4.5e-10,0,0>
2;7;Orchard;;<30000,1.65e-09,0,0>
2;8;MarinaBay;outputNeighborhood;<60000,0.00034,4e-05,0>
2;8;MarinaBay;;<60000,0.000434009,0.000104,4e-06>
2;9;PasirRis;outputNeighborhood;<150000,0.000255,3e-05,0>
2;9;PasirRis;;<150000,0.000325506,7.8e-05,3e-06>
3;1;Woodlands;;<260000,0,0,0>
3;2;AngMoKio;;<160000,0,0,0>
3;3;BukitMerah;outputNeighborhood;<170000,0.000325507,7.8e-05,3e-06>
3;3;BukitMerah;;<170000,0.000369774,0.000135301,1.08e-05>
3;4;Geylang;outputNeighborhood;<100000,0.00217002,7.29052,2.71002>
3;4;Geylang;;<100000,0.00246507,6.5619,3.43907>
3;5;Tampines;outputNeighborhood;<240000,9e-10,0,0>
3;5;Tampines;;<240000,3.06e-09,1.8e-10,0>
3;6;JurongEast;outputNeighborhood;<180000,4.5e-10,0,0>
3;6;JurongEast;;<180000,1.53e-09,9e-11,0>
3;7;Orchard;outputNeighborhood;<30000,1.65e-09,0,0>
3;7;Orchard;;<30000,5.61e-09,3.3e-10,0>
3;8;MarinaBay;outputNeighborhood;<60000,0.000434009,0.000104,4e-06>
3;8;MarinaBay;;<60000,0.00049303,0.000180402,1.44e-05>
3;9;PasirRis;outputNeighborhood;<150000,0.000325506,7.8e-05,3e-06>
3;9;PasirRis;;<150000,0.00036977,0.000135301,1.08e-05>
4;1;Woodlands;;<260000,1.35e-15,0,0>
4;2;AngMoKio;;<160000,4.95e-15,0,0>
4;3;BukitMerah;outputNeighborhood;<170000,0.000369774,0.000135301,1.08e-05>
4;3;BukitMerah;;<170000,0.000394267,0.000195726,2.43301e-05>
4;4;Geylang;outputNeighborhood;<100000,0.00246507,6.5619,3.43907>
4;4;Geylang;;<100000,0.00262826,5.9062,4.09526>
4;5;Tampines;outputNeighborhood;<240000,3.06e-09,1.8e-10,0>
4;5;Tampines;;<240000,6.50706e-09,7.74e-10,1.8e-11>
4;6;JurongEast;outputNeighborhood;<180000,1.53e-09,9e-11,0>
4;6;JurongEast;;<180000,3.25353e-09,3.87e-10,9e-12>
4;7;Orchard;outputNeighborhood;<30000,5.61e-09,3.3e-10,0>
4;7;Orchard;;<30000,1.19296e-08,1.419e-09,3.3e-11>
4;8;MarinaBay;outputNeighborhood;<60000,0.00049303,0.000180402,1.44e-05>
4;8;MarinaBay;;<60000,0.000525684,0.000260968,3.24402e-05>
4;9;PasirRis;outputNeighborhood;<150000,0.00036977,0.000135301,1.08e-05>
4;9;PasirRis;;<150000,0.000394258,0.000195725,2.43301e-05>
5;1;Woodlands;outputNeighborhood;<260000,1.35e-15,0,0>
5;1;Woodlands;;<260000,6.885e-15,2.7e-16,0>
5;2;AngMoKio;outputNeighborhood;<160000,4.95e-15,0,0>
5;2;AngMoKio;;<160000,2.5245e-14,9.9e-16,0>
5;3;BukitMerah;outputNeighborhood;<170000,0.000394267,0.000195726,2.43301e-05>
5;3;BukitMerah;;<170000,0.000404034,0.000255007,4.39028e-05>
5;4;Geylang;outputNeighborhood;<100000,0.00262826,5.9062,4.09526>
5;4;Geylang;;<100000,0.00269324,5.31611,4.68588>
5;5;Tampines;outputNeighborhood;<240000,6.50706e-09,7.74e-10,1.8e-11>
5;5;Tampines;;<240000,1.10775e-08,1.99801e-09,9.54e-11>
5;6;JurongEast;outputNeighborhood;<180000,3.25353e-09,3.87e-10,9e-12>
5;6;JurongEast;;<180000,5.53876e-09,9.99006e-10,4.77e-11>
5;7;Orchard;outputNeighborhood;<30000,1.19296e-08,1.419e-09,3.3e-11>
5;7;Orchard;;<30000,2.03088e-08,3.66302e-09,1.749e-10>
5;8;MarinaBay;outputNeighborhood;<60000,0.000525684,0.000260968,3.24402e-05>
5;8;MarinaBay;;<60000,0.000538704,0.000340008,5.85369e-05>
5;9;PasirRis;outputNeighborhood;<150000,0.000394258,0.000195725,2.43301e-05>
5;9;PasirRis;;<150000,0.000404019,0.000255004,4.39026e-05>
5;10;Yishun;;<230000,0,0,0>
6;1;Woodlands;outputNeighborhood;<260000,6.885e-15,2.7e-16,0>
6;1;Woodlands;;<260000,2.04931e-14,1.62e-15,2.7e-17>
6;2;AngMoKio;outputNeighborhood;<160000,2.5245e-14,9.9e-16,0>
6;2;AngMoKio;;<160000,7.51414e-14,5.94e-15,9.9e-17>
6;3;BukitMerah;outputNeighborhood;<170000,0.000404034,0.000255007,4.39028e-05>
6;3;BukitMerah;;<170000,0.000403005,0.000310313,6.94035e-05>
6;4;Geylang;outputNeighborhood;<100000,0.00269324,5.31611,4.68588>
6;4;Geylang;;<100000,0.00268622,4.78504,5.21749>
6;5;Tampines;outputNeighborhood;<240000,1.10775e-08,1.99801e-09,9.54e-11>
6;5;Tampines;;<240000,1.65123e-08,4.01371e-09,2.95201e-10>
6;6;JurongEast;outputNeighborhood;<180000,5.53876e-09,9.99006e-10,4.77e-11>
6;6;JurongEast;;<180000,8.25621e-09,2.00686e-09,1.47601e-10>
6;7;Orchard;outputNeighborhood;<30000,2.03088e-08,3.66302e-09,1.749e-10>
6;7;Orchard;;<30000,3.02727e-08,7.35847e-09,5.41202e-10>
6;8;MarinaBay;outputNeighborhood;<60000,0.000538704,0.000340008,5.85369e-05>
6;8;MarinaBay;;<60000,0.000537327,0.000413748,9.25377e-05>
6;9;PasirRis;outputNeighborhood;<150000,0.000404019,0.000255004,4.39026e-05>
6;9;PasirRis;;<150000,0.000402983,0.000310308,6.94031e-05>
6;10;Yishun;;<230000,2.295e-20,0,0>
7;1;Woodlands;outputNeighborhood;<260000,2.04931e-14,1.62e-15,2.7e-17>
7;1;Woodlands;;<260000,4.64975e-14,5.55662e-15,1.89e-16>
7;2;AngMoKio;outputNeighborhood;<160000,7.51414e-14,5.94e-15,9.9e-17>
7;2;AngMoKio;;<160000,1.70491e-13,2.03743e-14,6.93e-16>
7;3;BukitMerah;outputNeighborhood;<170000,0.000403005,0.000310313,6.94035e-05>
7;3;BukitMerah;;<170000,0.000394223,0.000359883,0.000100435>
7;4;Geylang;outputNeighborhood;<100000,0.00268622,4.78504,5.21749>
7;4;Geylang;;<100000,0.0026275,4.30707,5.696>
7;5;Tampines;outputNeighborhood;<240000,1.65123e-08,4.01371e-09,2.95201e-10>
7;5;Tampines;;<240000,2.25195e-08,6.9148e-09,6.96572e-10>
7;6;JurongEast;outputNeighborhood;<180000,8.25621e-09,2.00686e-09,1.47601e-10>
7;6;JurongEast;;<180000,1.12599e-08,3.45741e-09,3.48286e-10>
7;7;Orchard;outputNeighborhood;<30000,3.02727e-08,7.35847e-09,5.41202e-10>
7;7;Orchard;;<30000,4.1286e-08,1.26772e-08,1.27705e-09>
7;8;MarinaBay;outputNeighborhood;<60000,0.000537327,0.000413748,9.25377e-05>
7;8;MarinaBay;;<60000,0.000525613,0.000479838,0.000133912>
7;9;PasirRis;outputNeighborhood;<150000,0.000402983,0.000310308,6.94031e-05>
7;9;PasirRis;;<150000,0.000394193,0.000359874,0.000100434>
7;10;Yishun;outputNeighborhood;<230000,2.295e-20,0,0>
7;10;Yishun;;<230000,1.5606e-19,4.59e-21,0>
8;1;Woodlands;outputNeighborhood;<260000,4.64975e-14,5.55662e-15,1.89e-16>
8;1;Woodlands;;<260000,8.90598e-14,1.43005e-14,7.44662e-16>
8;2;AngMoKio;outputNeighborhood;<160000,1.70491e-13,2.03743e-14,6.93e-16>
8;2;AngMoKio;;<160000,3.26552e-13,5.2435e-14,2.73043e-15>
8;3;BukitMerah;outputNeighborhood;<170000,0.000394223,0.000359883,0.000100435>
8;3;BukitMerah;;<170000,0.000380035,0.000402739,0.000136423>
8;4;Geylang;outputNeighborhood;<100000,0.0026275,4.30707,5.696>
8;4;Geylang;;<100000,0.00253273,3.87689,6.1267>
8;5;Tampines;outputNeighborhood;<240000,2.25195e-08,6.9148e-09,6.96572e-10>
8;5;Tampines;;<240000,2.88126e-08,1.07272e-08,1.38805e-09>
8;6;JurongEast;outputNeighborhood;<180000,1.12599e-08,3.45741e-09,3.48286e-10>
8;6;JurongEast;;<180000,1.44065e-08,5.36364e-09,6.94028e-10>
8;7;Orchard;outputNeighborhood;<30000,4.1286e-08,1.26772e-08,1.27705e-09>
8;7;Orchard;;<30000,5.28235e-08,1.96667e-08,2.54477e-09>
8;8;MarinaBay;outputNeighborhood;<60000,0.000525613,0.000479838,0.000133912>
8;8;MarinaBay;;<60000,0.00050669,0.000536977,0.000181896>
8;9;PasirRis;outputNeighborhood;<150000,0.000394193,0.000359874,0.000100434>
8;9;PasirRis;;<150000,0.000379996,0.000402725,0.000136421>
8;10;Yishun;outputNeighborhood;<230000,1.5606e-19,4.59e-21,0>
8;10;Yishun;;<230000,5.97161e-19,3.5343e-20,4.59e-22>
9;1;Woodlands;outputNeighborhood;<260000,8.90598e-14,1.43005e-14,7.44662e-16>
9;1;Woodlands;;<260000,1.51704e-13,3.06824e-14,2.17471e-15>
9;2;AngMoKio;outputNeighborhood;<160000,3.26552e-13,5.2435e-14,2.73043e-15>
9;2;AngMoKio;;<160000,5.56247e-13,1.12502e-13,7.97393e-15>
9;3;BukitMerah;outputNeighborhood;<170000,0.000380035,0.000402739,0.000136423>
9;3;BukitMerah;;<170000,0.000362237,0.000438472,0.000176697>
9;4;Geylang;outputNeighborhood;<100000,0.00253273,3.87689,6.1267>
9;4;Geylang;;<100000,0.00241389,3.48971,6.51439>
9;5;Tampines;outputNeighborhood;<240000,2.88126e-08,1.07272e-08,1.38805e-09>
9;5;Tampines;;<240000,3.5133e-08,1.5417e-08,2.46077e-09>
9;6;JurongEast;outputNeighborhood;<180000,1.44065e-08,5.36364e-09,6.94028e-10>
9;6;JurongEast;;<180000,1.75668e-08,7.70858e-09,1.23039e-09>
9;7;Orchard;outputNeighborhood;<30000,5.28235e-08,1.96667e-08,2.54477e-09>
9;7;Orchard;;<30000,6.44111e-08,2.82647e-08,4.51143e-09>
9;8;MarinaBay;outputNeighborhood;<60000,0.00050669,0.000536977,0.000181896>
9;8;MarinaBay;;<60000,0.000482956,0.000584617,0.000235594>
9;9;PasirRis;outputNeighborhood;<150000,0.000379996,0.000402725,0.000136421>
9;9;PasirRis;;<150000,0.000362191,0.000438451,0.000176694>
9;10;Yishun;outputNeighborhood;<230000,5.97161e-19,3.5343e-20,4.59e-22>
9;10;Yishun;;<230000,1.69327e-18,1.51241e-19,3.9933e-21>
10;1;Woodlands;outputNeighborhood;<260000,1.51704e-13,3.06824e-14,2.17471e-15>
10;1;Woodlands;;<260000,2.36995e-13,5.79549e-14,5.24295e-15>
10;2;AngMoKio;outputNeighborhood;<160000,5.56247e-13,1.12502e-13,7.97393e-15>
10;2;AngMoKio;;<160000,8.68979e-13,2.12501e-13,1.92241e-14>
10;3;BukitMerah;outputNeighborhood;<170000,0.000362237,0.000438472,0.000176697>
10;3;BukitMerah;;<170000,0.000342197,0.000467072,0.000220544>
10;4;Geylang;outputNeighborhood;<100000,0.00241389,3.48971,6.51439>
10;4;Geylang;;<100000,0.00228011,3.14122,6.86336>
10;5;Tampines;outputNeighborhood;<240000,3.5133e-08,1.5417e-08,2.46077e-09>
10;5;Tampines;;<240000,4.12616e-08,2.09019e-08,4.00248e-09>
10;6;JurongEast;outputNeighborhood;<180000,1.75668e-08,7.70858e-09,1.23039e-09>
10;6;JurongEast;;<180000,2.06313e-08,1.04511e-08,2.00125e-09>
10;7;Orchard;outputNeighborhood;<30000,6.44111e-08,2.82647e-08,4.51143e-09>
10;7;Orchard;;<30000,7.56473e-08,3.83204e-08,7.3379e-09>
10;8;MarinaBay;outputNeighborhood;<60000,0.000482956,0.000584617,0.000235594>
10;8;MarinaBay;;<60000,0.00045623,0.000622747,0.000294056>
10;9;PasirRis;outputNeighborhood;<150000,0.000362191,0.000438451,0.000176694>
10;9;PasirRis;;<150000,0.000342142,0.000467044,0.000220539>
10;10;Yishun;outputNeighborhood;<230000,1.69327e-18,1.51241e-19,3.9933e-21>
10;10;Yishun;;<230000,3.96263e-18,4.74771e-19,1.91174e-20>
11;1;Woodlands;outputNeighborhood;<260000,2.36995e-13,5.79549e-14,5.24295e-15>
11;1;Woodlands;;<260000,3.46368e-13,9.95584e-14,1.10384e-14>
11;2;AngMoKio;outputNeighborhood;<160000,8.68979e-13,2.12501e-13,1.92241e-14>
11;2;AngMoKio;;<160000,1.27001e-12,3.65047e-13,4.04742e-14>
11;3;BukitMerah;outputNeighborhood;<170000,0.000342197,0.000467072,0.000220544>
11;3;BukitMerah;;<170000,0.000320941,0.000488804,0.000267251>
11;4;Geylang;outputNeighborhood;<100000,0.00228011,3.14122,6.86336>
11;4;Geylang;;<100000,0.00213824,2.82755,7.17749>
11;5;Tampines;outputNeighborhood;<240000,4.12616e-08,2.09019e-08,4.00248e-09>
11;5;Tampines;;<240000,4.70228e-08,2.7064e-08,6.09267e-09>
11;6;JurongEast;outputNeighborhood;<180000,2.06313e-08,1.04511e-08,2.00125e-09>
11;6;JurongEast;;<180000,2.35122e-08,1.35322e-08,3.04636e-09>
11;7;Orchard;outputNeighborhood;<30000,7.56473e-08,3.83204e-08,7.3379e-09>
11;7;Orchard;;<30000,8.62102e-08,4.96179e-08,1.11699e-08>
11;8;MarinaBay;outputNeighborhood;<60000,0.00045623,0.000622747,0.000294056>
11;8;MarinaBay;;<60000,0.000427885,0.000651718,0.00035633>
11;9;PasirRis;outputNeighborhood;<150000,0.000342142,0.000467044,0.000220539>
11;9;PasirRis;;<150000,0.000320879,0.000488768,0.000267243>
11;10;Yishun;outputNeighborhood;<230000,3.96263e-18,4.74771e-19,1.91174e-20>
11;10;Yishun;;<230000,8.09632e-18,1.21982e-18,6.65945e-20>
12;1;Woodlands;outputNeighborhood;<260000,3.46368e-13,9.95584e-14,1.10384e-14>
12;1;Woodlands;;<260000,4.80088e-13,1.58876e-13,2.09943e-14>
12;2;AngMoKio;outputNeighborhood;<160000,1.27001e-12,3.65047e-13,4.04742e-14>
12;2;AngMoKio;;<160000,1.76031e-12,5.82544e-13,7.69789e-14>
12;3;BukitMerah;outputNeighborhood;<170000,0.000320941,0.000488804,0.000267251>
12;3;BukitMerah;;<170000,0.000299235,0.000504112,0.000316132>
12;4;Geylang;outputNeighborhood;<100000,0.00213824,2.82755,7.17749>
12;4;Geylang;;<100000,0.00199338,2.54523,7.46024>
12;5;Tampines;outputNeighborhood;<240000,4.70228e-08,2.7064e-08,6.09267e-09>
12;5;Tampines;;<240000,5.22842e-08,3.37622e-08,8.79907e-09>
12;6;JurongEast;outputNeighborhood;<180000,2.35122e-08,1.35322e-08,3.04636e-09>
12;6;JurongEast;;<180000,2.61432e-08,1.68814e-08,4.39958e-09>
12;7;Orchard;outputNeighborhood;<30000,8.62102e-08,4.96179e-08,1.11699e-08>
12;7;Orchard;;<30000,9.58567e-08,6.18981e-08,1.61317e-08>
12;8;MarinaBay;outputNeighborhood;<60000,0.000427885,0.000651718,0.00035633>
12;8;MarinaBay;;<60000,0.000398939,0.000672123,0.000421502>
12;9;PasirRis;outputNeighborhood;<150000,0.000320879,0.000488768,0.000267243>
12;9;PasirRis;;<150000,0.000299165,0.000504067,0.00031612>
12;10;Yishun;outputNeighborhood;<230000,8.09632e-18,1.21982e-18,6.65945e-20>
12;10;Yishun;;<230000,1.49396e-17,2.7171e-18,1.88577e-19>
13;1;Woodlands;outputNeighborhood;<260000,4.80088e-13,1.58876e-13,2.09943e-14>
13;1;Woodlands;;<260000,6.37308e-13,2.39006e-13,3.68819e-14>
13;2;AngMoKio;outputNeighborhood;<160000,1.76031e-12,5.82544e-13,7.69789e-14>
13;2;AngMoKio;;<160000,2.33678e-12,8.76353e-13,1.35233e-13>
13;3;BukitMerah;outputNeighborhood;<170000,0.000299235,0.000504112,0.000316132>
13;3;BukitMerah;;<170000,0.000277637,0.000513548,0.000366543>
13;4;Geylang;outputNeighborhood;<100000,0.00199338,2.54523,7.46024>
13;4;Geylang;;<100000,0.00184925,2.2911,7.71476>
13;5;Tampines;outputNeighborhood;<240000,5.22842e-08,3.37622e-08,8.79907e-09>
13;5;Tampines;;<240000,5.6953e-08,4.08428e-08,1.21753e-08>
13;6;JurongEast;outputNeighborhood;<180000,2.61432e-08,1.68814e-08,4.39958e-09>
13;6;JurongEast;;<180000,2.84779e-08,2.04219e-08,6.08772e-09>
13;7;Orchard;outputNeighborhood;<30000,9.58567e-08,6.18981e-08,1.61317e-08>
13;7;Orchard;;<30000,1.04417e-07,7.48797e-08,2.23215e-08>
13;8;MarinaBay;outputNeighborhood;<60000,0.000398939,0.000672123,0.000421502>
13;8;MarinaBay;;<60000,0.000370138,0.000684699,0.000488715>
13;9;PasirRis;outputNeighborhood;<150000,0.000299165,0.000504067,0.00031612>
13;9;PasirRis;;<150000,0.000277561,0.000513494,0.000366527>
13;10;Yishun;outputNeighborhood;<230000,1.49396e-17,2.7171e-18,1.88577e-19>
13;10;Yishun;;<230000,2.54564e-17,5.43332e-18,4.60287e-19>
14;1;Woodlands;outputNeighborhood;<260000,6.37308e-13,2.39006e-13,3.68819e-14>
14;1;Woodlands;;<260000,8.16199e-13,3.42567e-13,6.07825e-14>
14;2;AngMoKio;outputNeighborhood;<160000,2.33678e-12,8.76353e-13,1.35233e-13>
14;2;AngMoKio;;<160000,2.99271e-12,1.25607e-12,2.22869e-13>
14;3;BukitMerah;outputNeighborhood;<170000,0.000277637,0.000513548,0.000366543>
14;3;BukitMerah;;<170000,0.000256548,0.000517721,0.000417898>
14;4;Geylang;outputNeighborhood;<100000,0.00184925,2.2911,7.71476>
14;4;Geylang;;<100000,0.00170854,2.06236,7.94387>
14;5;Tampines;outputNeighborhood;<240000,5.6953e-08,4.08428e-08,1.21753e-08>
14;5;Tampines;;<240000,6.09716e-08,4.81491e-08,1.62596e-08>
14;6;JurongEast;outputNeighborhood;<180000,2.84779e-08,2.04219e-08,6.08772e-09>
14;6;JurongEast;;<180000,3.04876e-08,2.40753e-08,8.12992e-09>
14;7;Orchard;outputNeighborhood;<30000,1.04417e-07,7.48797e-08,2.23215e-08>
14;7;Orchard;;<30000,1.11785e-07,8.82751e-08,2.98095e-08>
14;8;MarinaBay;outputNeighborhood;<60000,0.000370138,0.000684699,0.000488715>
14;8;MarinaBay;;<60000,0.000342016,0.000690257,0.000557184>
14;9;PasirRis;outputNeighborhood;<150000,0.000277561,0.000513494,0.000366527>
14;9;PasirRis;;<150000,0.000256467,0.000517656,0.000417876>
14;10;Yishun;outputNeighborhood;<230000,2.54564e-17,5.43332e-18,4.60287e-19>
14;10;Yishun;;<230000,4.06811e-17,9.98127e-18,1.00362e-18>
15;1;Woodlands;outputNeighborhood;<260000,8.16199e-13,3.42567e-13,6.07825e-14>
15;1;Woodlands;;<260000,1.01412e-12,4.7155e-13,9.50392e-14>
15;2;AngMoKio;outputNeighborhood;<160000,2.99271e-12,1.25607e-12,2.22869e-13>
15;2;AngMoKio;;<160000,3.71842e-12,1.72901e-12,3.48476e-13>
15;3;BukitMerah;outputNeighborhood;<170000,0.000256548,0.000517721,0.000417898>
15;3;BukitMerah;;<170000,0.000236246,0.000517258,0.00046967>
15;4;Geylang;outputNeighborhood;<100000,0.00170854,2.06236,7.94387>
15;4;Geylang;;<100000,0.0015731,1.85647,8.15011>
15;5;Tampines;outputNeighborhood;<240000,6.09716e-08,4.81491e-08,1.62596e-08>
15;5;Tampines;;<240000,6.43122e-08,5.55286e-08,2.10745e-08>
15;6;JurongEast;outputNeighborhood;<180000,3.04876e-08,2.40753e-08,8.12992e-09>
15;6;JurongEast;;<180000,3.21583e-08,2.77653e-08,1.05374e-08>
15;7;Orchard;outputNeighborhood;<30000,1.11785e-07,8.82751e-08,2.98095e-08>
15;7;Orchard;;<30000,1.17911e-07,1.01805e-07,3.8637e-08>
15;8;MarinaBay;outputNeighborhood;<60000,0.000342016,0.000690257,0.000557184>
15;8;MarinaBay;;<60000,0.000314945,0.000689634,0.00062621>
15;9;PasirRis;outputNeighborhood;<150000,0.000256467,0.000517656,0.000417876>
15;9;PasirRis;;<150000,0.00023616,0.000517184,0.000469642>
15;10;Yishun;outputNeighborhood;<230000,4.06811e-17,9.98127e-18,1.00362e-18>
15;10;Yishun;;<230000,6.1664e-17,1.71194e-17,2.00175e-18>
16;1;Woodlands;outputNeighborhood;<260000,1.01412e-12,4.7155e-13,9.50392e-14>
16;1;Woodlands;;<260000,1.22783e-12,6.2722e-13,1.42194e-13>
16;2;AngMoKio;outputNeighborhood;<160000,3.71842e-12,1.72901e-12,3.48476e-13>
16;2;AngMoKio;;<160000,4.50198e-12,2.29979e-12,5.21377e-13>
16;3;BukitMerah;outputNeighborhood;<170000,0.000236246,0.000517258,0.00046967>
16;3;BukitMerah;;<170000,0.000216916,0.000512781,0.000521396>
16;4;Geylang;outputNeighborhood;<100000,0.0015731,1.85647,8.15011>
16;4;Geylang;;<100000,0.00144416,1.67113,8.33576>
16;5;Tampines;outputNeighborhood;<240000,6.43122e-08,5.55286e-08,2.10745e-08>
16;5;Tampines;;<240000,6.69712e-08,6.28381e-08,2.66273e-08>
16;6;JurongEast;outputNeighborhood;<180000,3.21583e-08,2.77653e-08,1.05374e-08>
16;6;JurongEast;;<180000,3.34883e-08,3.14204e-08,1.3314e-08>
16;7;Orchard;outputNeighborhood;<30000,1.17911e-07,1.01805e-07,3.8637e-08>
16;7;Orchard;;<30000,1.22786e-07,1.15206e-07,4.88175e-08>
16;8;MarinaBay;outputNeighborhood;<60000,0.000314945,0.000689634,0.00062621>
16;8;MarinaBay;;<60000,0.00028917,0.00068366,0.000695174>
16;9;PasirRis;outputNeighborhood;<150000,0.00023616,0.000517184,0.000469642>
16;9;PasirRis;;<150000,0.000216827,0.000512698,0.00052136>
16;10;Yishun;outputNeighborhood;<230000,6.1664e-17,1.71194e-17,2.00175e-18>
16;10;Yishun;;<230000,8.94145e-17,2.77402e-17,3.71368e-18>
17;1;Woodlands;outputNeighborhood;<260000,1.22783e-12,6.2722e-13,1.42194e-13>
17;1;Woodlands;;<260000,1.45363e-12,8.10063e-13,2.04916e-13>
17;2;AngMoKio;outputNeighborhood;<160000,4.50198e-12,2.29979e-12,5.21377e-13>
17;2;AngMoKio;;<160000,5.3299e-12,2.97021e-12,7.51356e-13>
17;3;BukitMerah;outputNeighborhood;<170000,0.000216916,0.000512781,0.000521396>
17;3;BukitMerah;;<170000,0.000198672,0.000504887,0.000572674>
17;4;Geylang;outputNeighborhood;<100000,0.00144416,1.67113,8.33576>
17;4;Geylang;;<100000,0.00132247,1.50431,8.50287>
17;5;Tampines;outputNeighborhood;<240000,6.69712e-08,6.28381e-08,2.66273e-08>
17;5;Tampines;;<240000,6.89647e-08,6.99486e-08,3.29112e-08>
17;6;JurongEast;outputNeighborhood;<180000,3.34883e-08,3.14204e-08,1.3314e-08>
17;6;JurongEast;;<180000,3.44855e-08,3.4976e-08,1.6456e-08>
17;7;Orchard;outputNeighborhood;<30000,1.22786e-07,1.15206e-07,4.88175e-08>
17;7;Orchard;;<30000,1.26442e-07,1.28243e-07,6.03381e-08>
17;8;MarinaBay;outputNeighborhood;<60000,0.00028917,0.00068366,0.000695174>
17;8;MarinaBay;;<60000,0.000264842,0.000673128,0.00076354>
17;9;PasirRis;outputNeighborhood;<150000,0.000216827,0.000512698,0.00052136>
17;9;PasirRis;;<150000,0.00019858,0.000504793,0.00057263>
17;10;Yishun;outputNeighborhood;<230000,8.94145e-17,2.77402e-17,3.71368e-18>
17;10;Yishun;;<230000,1.24848e-16,4.28491e-17,6.48771e-18>
18;1;Woodlands;outputNeighborhood;<260000,1.45363e-12,8.10063e-13,2.04916e-13>
18;1;Woodlands;;<260000,1.68762e-12,1.01978e-12,2.85922e-13>
18;2;AngMoKio;outputNeighborhood;<160000,5.3299e-12,2.97021e-12,7.51356e-13>
18;2;AngMoKio;;<160000,6.18787e-12,3.73917e-12,1.04838e-12>
18;3;BukitMerah;outputNeighborhood;<170000,0.000198672,0.000504887,0.000572674>
18;3;BukitMerah;;<170000,0.000181573,0.000494132,0.000623163>
18;4;Geylang;outputNeighborhood;<100000,0.00132247,1.50431,8.50287>
18;4;Geylang;;<100000,0.00120844,1.35414,8.6533>
18;5;Tampines;outputNeighborhood;<240000,6.89647e-08,6.99486e-08,3.29112e-08>
18;5;Tampines;;<240000,7.0323e-08,7.67466e-08,3.9906e-08>
18;6;JurongEast;outputNeighborhood;<180000,3.44855e-08,3.4976e-08,1.6456e-08>
18;6;JurongEast;;<180000,3.51652e-08,3.83755e-08,1.99536e-08>
18;7;Orchard;outputNeighborhood;<30000,1.26442e-07,1.28243e-07,6.03381e-08>
18;7;Orchard;;<30000,1.28934e-07,1.40707e-07,7.31624e-08>
18;8;MarinaBay;outputNeighborhood;<60000,0.000264842,0.000673128,0.00076354>
18;8;MarinaBay;;<60000,0.000242042,0.000658783,0.000830852>
18;9;PasirRis;outputNeighborhood;<150000,0.00019858,0.000504793,0.00057263>
18;9;PasirRis;;<150000,0.000181479,0.00049403,0.000623109>
18;10;Yishun;outputNeighborhood;<230000,1.24848e-16,4.28491e-17,6.48771e-18>
18;10;Yishun;;<230000,1.68738e-16,6.35338e-17,1.07726e-17>
19;1;Woodlands;outputNeighborhood;<260000,1.68762e-12,1.01978e-12,2.85922e-13>
